DATE,BOGZ1FL073161113Q
1962-01-01,4016.0
1962-04-01,3876.0
1962-07-01,3990.0
1962-10-01,3902.0
1963-01-01,3892.0
1963-04-01,3964.0
1963-07-01,4032.0
1963-10-01,4118.0
1964-01-01,4179.0
1964-04-01,4201.0
1964-07-01,4194.0
1964-10-01,4175.0
1965-01-01,4204.0
1965-04-01,4210.0
1965-07-01,4249.0
1965-10-01,4476.0
1966-01-01,4774.0
1966-04-01,4782.0
1966-07-01,5146.0
1966-10-01,4998.0
1967-01-01,4580.0
1967-04-01,4828.0
1967-07-01,5247.0
1967-10-01,5642.0
1968-01-01,5611.0
1968-04-01,5746.0
1968-07-01,5459.0
1968-10-01,5768.0
1969-01-01,6171.0
1969-04-01,6357.0
1969-07-01,6857.0
1969-10-01,7310.0
1970-01-01,7375.0
1970-04-01,7710.0
1970-07-01,7458.0
1970-10-01,6846.0
1971-01-01,6000.0
1971-04-01,6252.0
1971-07-01,6485.0
1971-10-01,5888.0
1972-01-01,6032.0
1972-04-01,6141.0
1972-07-01,6287.0
1972-10-01,6373.0
1973-01-01,6601.0
1973-04-01,6808.0
1973-07-01,7219.0
1973-10-01,6756.0
1974-01-01,7055.0
1974-04-01,7542.0
1974-07-01,7960.0
1974-10-01,7674.0
1975-01-01,7544.0
1975-04-01,8052.0
1975-07-01,8292.0
1975-10-01,8063.0
1976-01-01,7754.0
1976-04-01,7773.0
1976-07-01,7732.0
1976-10-01,7178.0
1977-01-01,7357.0
1977-04-01,7366.0
1977-07-01,7359.0
1977-10-01,7597.0
1978-01-01,8008.0
1978-04-01,8326.0
1978-07-01,8485.0
1978-10-01,8815.0
1979-01-01,9105.0
1979-04-01,9115.0
1979-07-01,9095.0
1979-10-01,10438.0
1980-01-01,11956.0
1980-04-01,10478.0
1980-07-01,10942.0
1980-10-01,12406.0
1981-01-01,12951.0
1981-04-01,13740.0
1981-07-01,14838.0
1981-10-01,14117.0
1982-01-01,14268.0
1982-04-01,13942.0
1982-07-01,13113.0
1982-10-01,10663.0
1983-01-01,10556.0
1983-04-01,10550.0
1983-07-01,11636.0
1983-10-01,11689.0
1984-01-01,11955.0
1984-04-01,13214.0
1984-07-01,12873.0
1984-10-01,11761.0
1985-01-01,11587.0
1985-04-01,10823.0
1985-07-01,10336.0
1985-10-01,9766.0
1986-01-01,8567.0
1986-04-01,7598.0
1986-07-01,7305.0
1986-10-01,7264.0
1987-01-01,7195.0
1987-04-01,8343.0
1987-07-01,8870.0
1987-10-01,9129.0
1988-01-01,8411.0
1988-04-01,8913.0
1988-07-01,9104.0
1988-10-01,8957.0
1989-01-01,9212.0
1989-04-01,8758.0
1989-07-01,8107.0
1989-10-01,7907.0
1990-01-01,8424.0
1990-04-01,8674.0
1990-07-01,8701.0
1990-10-01,8406.0
1991-01-01,8023.0
1991-04-01,8125.0
1991-07-01,7950.0
1991-10-01,7345.0
1992-01-01,7307.0
1992-04-01,7376.0
1992-07-01,6619.0
1992-10-01,6740.0
1993-01-01,6258.0
1993-04-01,5988.0
1993-07-01,5615.0
1993-10-01,5616.0
1994-01-01,6090.0
1994-04-01,7090.0
1994-07-01,7328.0
1994-10-01,7837.0
1995-01-01,7471.0
1995-04-01,6600.0
1995-07-01,6329.0
1995-10-01,5899.0
1996-01-01,5910.0
1996-04-01,6714.0
1996-07-01,6776.0
1996-10-01,6354.0
1997-01-01,6567.0
1997-04-01,6700.0
1997-07-01,6242.0
1997-10-01,5906.0
1998-01-01,5591.0
1998-04-01,5593.0
1998-07-01,5207.0
1998-10-01,4662.0
1999-01-01,5001.0
1999-04-01,5541.0
1999-07-01,5883.0
1999-10-01,6145.0
2000-01-01,6468.0
2000-04-01,6185.0
2000-07-01,5890.0
2000-10-01,5571.0
2001-01-01,5044.0
2001-04-01,5276.0
2001-07-01,4996.0
2001-10-01,4762.0
2002-01-01,5079.0
2002-04-01,5106.0
2002-07-01,4272.0
2002-10-01,4005.0
2003-01-01,3920.0
2003-04-01,3621.0
2003-07-01,4228.0
2003-10-01,4285.0
2004-01-01,4010.0
2004-04-01,4597.0
2004-07-01,4301.0
2004-10-01,4176.0
2005-01-01,4304.0
2005-04-01,4159.0
2005-07-01,4215.0
2005-10-01,4488.0
2006-01-01,4577.0
2006-04-01,5073.0
2006-07-01,4893.0
2006-10-01,4631.0
2007-01-01,4679.0
2007-04-01,4846.0
2007-07-01,4738.0
2007-10-01,4267.0
2008-01-01,3665.0
2008-04-01,3882.0
2008-07-01,3862.0
2008-10-01,3235.0
2009-01-01,2736.0
2009-04-01,3321.0
2009-07-01,3518.0
2009-10-01,3464.0
2010-01-01,3718.0
2010-04-01,3493.0
2010-07-01,2785.0
2010-10-01,2878.0
2011-01-01,3457.0
2011-04-01,3201.0
2011-07-01,2414.0
2011-10-01,2047.0
2012-01-01,2040.0
2012-04-01,1826.0
2012-07-01,1641.0
2012-10-01,1707.0
2013-01-01,1951.0
2013-04-01,1986.0
2013-07-01,2707.0
2013-10-01,2744.0
2014-01-01,2765.0
2014-04-01,2621.0
2014-07-01,2500.0
2014-10-01,2276.0
2015-01-01,1969.0
2015-04-01,2164.0
2015-07-01,2223.0
2015-10-01,2190.0
2016-01-01,1914.0
2016-04-01,1750.0
2016-07-01,1564.0
2016-10-01,2139.0
2017-01-01,2447.0
2017-04-01,2261.0
2017-07-01,2241.0
2017-10-01,2371.0
2018-01-01,2759.0
2018-04-01,2921.0
2018-07-01,2924.0
2018-10-01,3041.0
2019-01-01,2653.0
2019-04-01,2339.0
2019-07-01,1798.0
2019-10-01,1792.0
2020-01-01,1365.0
2020-04-01,688.0
2020-07-01,651.0
2020-10-01,865.0
2021-01-01,1336.0
2021-04-01,1591.0
2021-07-01,1325.0
2021-10-01,1533.0
2022-01-01,1951.0
2022-04-01,2933.0
2022-07-01,3101.0
2022-10-01,3827.0
2023-01-01,3646.0
2023-04-01,3596.0
